X,Y,Z,formation
0.0,0.0,-0.37365017503489906,soil1
25.0,0.0,-0.47742178384153877,soil1
50.0,0.0,-0.3246582671942342,soil1
75.0,0.0,-0.4010326572730726,soil1
100.0,0.0,-0.31720269029782805,soil1
0.0,25.0,-0.3145932554404094,soil1
25.0,25.0,-0.34442866583631365,soil1
50.0,25.0,-0.3610123804816727,soil1
75.0,25.0,-0.4564488089276435,soil1
100.0,25.0,-0.39446064951083565,soil1
0.0,50.0,-0.39661484028284966,soil1
25.0,50.0,-0.3355127839843069,soil1
50.0,50.0,-0.3418739463995244,soil1
75.0,50.0,-0.30089219397964934,soil1
100.0,50.0,-0.35109905628055404,soil1
0.0,75.0,-0.49168823383808147,soil1
25.0,75.0,-0.39708361438007445,soil1
50.0,75.0,-0.4933195784113884,soil1
75.0,75.0,-0.44050955595388785,soil1
100.0,75.0,-0.3887515849069981,soil1
0.0,100.0,-0.3143811152540923,soil1
25.0,100.0,-0.3348742680902745,soil1
50.0,100.0,-0.3824139900445772,soil1
75.0,100.0,-0.38218602688343345,soil1
100.0,100.0,-0.46980430152148556,soil1
0.0,0.0,-0.876409719859247,soil2
25.0,0.0,-0.8116322504818264,soil2
50.0,0.0,-0.8980725034084087,soil2
75.0,0.0,-0.873713214988723,soil2
100.0,0.0,-0.8265539106214917,soil2
0.0,25.0,-0.9016236063582609,soil2
25.0,25.0,-0.9314371779832935,soil2
50.0,25.0,-0.8289533209806468,soil2
75.0,25.0,-0.992582980763856,soil2
100.0,25.0,-0.9698433058166896,soil2
0.0,50.0,-0.9255838365011881,soil2
25.0,50.0,-0.8936556077261637,soil2
50.0,50.0,-0.8824900930660605,soil2
75.0,50.0,-0.8695575591074849,soil2
100.0,50.0,-0.8546829500884787,soil2
0.0,75.0,-0.9115708751346896,soil2
25.0,75.0,-0.9639657580616976,soil2
50.0,75.0,-0.813849981173291,soil2
75.0,75.0,-0.9623260836612582,soil2
100.0,75.0,-0.8318561440639726,soil2
0.0,100.0,-0.885416654810703,soil2
25.0,100.0,-0.9141561745904231,soil2
50.0,100.0,-0.8464586386929559,soil2
75.0,100.0,-0.8101241813248077,soil2
100.0,100.0,-0.9154512186225102,soil2
0.0,0.0,-1.3911527847390968,soil3
25.0,0.0,-1.485307789044546,soil3
50.0,0.0,-1.4440671598442114,soil3
75.0,0.0,-1.3175451523272192,soil3
100.0,0.0,-1.3084354413981567,soil3
0.0,25.0,-1.3842704385452753,soil3
25.0,25.0,-1.3114989294749282,soil3
50.0,25.0,-1.331021132288356,soil3
75.0,25.0,-1.341683805772772,soil3
100.0,25.0,-1.3223283639081187,soil3
0.0,50.0,-1.428156215354747,soil3
25.0,50.0,-1.4448953006465606,soil3
50.0,50.0,-1.3535265082770025,soil3
75.0,50.0,-1.3040971646101291,soil3
100.0,50.0,-1.3823977272439558,soil3
0.0,75.0,-1.408756288668868,soil3
25.0,75.0,-1.3218722167631187,soil3
50.0,75.0,-1.397374515537332,soil3
75.0,75.0,-1.443228128987628,soil3
100.0,75.0,-1.4668730265289875,soil3
0.0,100.0,-1.415371776364188,soil3
25.0,100.0,-1.36182763439388,soil3
50.0,100.0,-1.457504426554388,soil3
75.0,100.0,-1.352257837577458,soil3
100.0,100.0,-1.4505543427353098,soil3
