X,Y,Z,formation,Azimuth,Dip,Polarity
37.5,0.0,-0.18293619237686828,soil1,0,0,1
18.75,56.25,-0.32650422709900984,soil1,0,0,1
0.0,37.5,-0.35355833939131354,soil1,0,0,1
56.25,56.25,-0.13547185367256848,soil1,0,0,1
0.0,18.75,-0.6356453389221276,soil2,0,0,1
18.75,0.0,-0.6356453389221276,soil2,0,0,1
18.75,18.75,-0.5462146540291658,soil2,0,0,1
0.0,18.75,-0.7141393542317898,soil2,0,0,1
18.75,56.25,-0.7904243548099821,soil3,0,0,1
18.75,56.25,-1.2791442060213194,soil3,0,0,1
0.0,56.25,-1.246204847745686,soil3,0,0,1
56.25,75.0,-0.7357110835911871,soil3,0,0,1
