X,Y,Z,formation
0.0,0.0,-0.12260836228517283,soil1
25.0,0.0,-0.15277459114143505,soil1
50.0,0.0,-0.3868744332343681,soil1
75.0,0.0,-0.33801710562627124,soil1
100.0,0.0,-0.38886254191040437,soil1
0.0,25.0,-0.3505954566528283,soil1
25.0,25.0,-0.21219274822578765,soil1
50.0,25.0,-0.20326243597429808,soil1
75.0,25.0,-0.36278247455445534,soil1
100.0,25.0,-0.23489325693717328,soil1
0.0,50.0,-0.33806059873706384,soil1
25.0,50.0,-0.1657951436669884,soil1
50.0,50.0,-0.10244163459842788,soil1
75.0,50.0,-0.15861503103522828,soil1
100.0,50.0,-0.3483981589473556,soil1
0.0,75.0,-0.2748284878604305,soil1
25.0,75.0,-0.10864038952410829,soil1
50.0,75.0,-0.11486264065013163,soil1
75.0,75.0,-0.3829428083138904,soil1
100.0,75.0,-0.1894198774375917,soil1
0.0,100.0,-0.3928425993236817,soil1
25.0,100.0,-0.3116610180842495,soil1
50.0,100.0,-0.1857033843000389,soil1
75.0,100.0,-0.1505242818584094,soil1
100.0,100.0,-0.3843784789433008,soil1
0.0,0.0,-0.7275039105708777,soil2
25.0,0.0,-0.7482015739409061,soil2
50.0,0.0,-0.7197294622830462,soil2
75.0,0.0,-0.82047896330814,soil2
100.0,0.0,-0.6484014223124339,soil2
0.0,25.0,-0.7345492267399343,soil2
25.0,25.0,-0.6069051711435175,soil2
50.0,25.0,-0.752051778856261,soil2
75.0,25.0,-0.935150996239558,soil2
100.0,25.0,-0.7240412097920439,soil2
0.0,50.0,-0.9138777573097971,soil2
25.0,50.0,-0.7281791686017008,soil2
50.0,50.0,-0.7934881713686552,soil2
75.0,50.0,-0.9806600358726206,soil2
100.0,50.0,-0.9375225064424254,soil2
0.0,75.0,-0.7062725988023639,soil2
25.0,75.0,-0.6315961737833539,soil2
50.0,75.0,-0.905682134406199,soil2
75.0,75.0,-0.7875211160858983,soil2
100.0,75.0,-0.8774145858890683,soil2
0.0,100.0,-0.9825712724274964,soil2
25.0,100.0,-0.7536207594091942,soil2
50.0,100.0,-0.9219165935621271,soil2
75.0,100.0,-0.9922160972676786,soil2
100.0,100.0,-0.7249281711782682,soil2
0.0,0.0,-0.8774059202867732,soil3
25.0,0.0,-1.4271336660121756,soil3
50.0,0.0,-1.1370690970923272,soil3
75.0,0.0,-0.801069780172074,soil3
100.0,0.0,-1.4090721507900335,soil3
0.0,25.0,-1.0538036448986723,soil3
25.0,25.0,-1.4212713400236883,soil3
50.0,25.0,-0.8899879543636677,soil3
75.0,25.0,-1.3069998526190538,soil3
100.0,25.0,-1.0577450925812517,soil3
0.0,50.0,-0.9915427713670881,soil3
25.0,50.0,-1.0484279543215735,soil3
50.0,50.0,-1.0127911690990068,soil3
75.0,50.0,-0.8414786058694952,soil3
100.0,50.0,-1.048082629631582,soil3
0.0,75.0,-1.4722278336024908,soil3
25.0,75.0,-1.3846720530507621,soil3
50.0,75.0,-0.8174567595457635,soil3
75.0,75.0,-1.433107509365848,soil3
100.0,75.0,-0.9936711146331951,soil3
0.0,100.0,-1.1964829616794215,soil3
25.0,100.0,-0.8782492831222023,soil3
50.0,100.0,-1.3577589633808893,soil3
75.0,100.0,-1.425061181747859,soil3
100.0,100.0,-1.47666107569923,soil3
