X,Y,Z,formation
0.0,0.0,-0.4,soil1
25.0,0.0,-0.4,soil1
50.0,0.0,-0.4,soil1
75.0,0.0,-0.4,soil1
100.0,0.0,-0.4,soil1
0.0,25.0,-0.4,soil1
25.0,25.0,-0.4,soil1
50.0,25.0,-0.4,soil1
75.0,25.0,-0.4,soil1
100.0,25.0,-0.4,soil1
0.0,50.0,-0.4,soil1
25.0,50.0,-0.4,soil1
50.0,50.0,-0.4,soil1
75.0,50.0,-0.4,soil1
100.0,50.0,-0.4,soil1
0.0,75.0,-0.4,soil1
25.0,75.0,-0.4,soil1
50.0,75.0,-0.4,soil1
75.0,75.0,-0.4,soil1
100.0,75.0,-0.4,soil1
0.0,100.0,-0.4,soil1
25.0,100.0,-0.4,soil1
50.0,100.0,-0.4,soil1
75.0,100.0,-0.4,soil1
100.0,100.0,-0.4,soil1
0.0,0.0,-0.9,soil2
25.0,0.0,-0.9,soil2
50.0,0.0,-0.9,soil2
75.0,0.0,-0.9,soil2
100.0,0.0,-0.9,soil2
0.0,25.0,-0.9,soil2
25.0,25.0,-0.9,soil2
50.0,25.0,-0.9,soil2
75.0,25.0,-0.9,soil2
100.0,25.0,-0.9,soil2
0.0,50.0,-0.9,soil2
25.0,50.0,-0.9,soil2
50.0,50.0,-0.9,soil2
75.0,50.0,-0.9,soil2
100.0,50.0,-0.9,soil2
0.0,75.0,-0.9,soil2
25.0,75.0,-0.9,soil2
50.0,75.0,-0.9,soil2
75.0,75.0,-0.9,soil2
100.0,75.0,-0.9,soil2
0.0,100.0,-0.9,soil2
25.0,100.0,-0.9,soil2
50.0,100.0,-0.9,soil2
75.0,100.0,-0.9,soil2
100.0,100.0,-0.9,soil2
0.0,0.0,-1.5,soil3
25.0,0.0,-1.5,soil3
50.0,0.0,-1.5,soil3
75.0,0.0,-1.5,soil3
100.0,0.0,-1.5,soil3
0.0,25.0,-1.5,soil3
25.0,25.0,-1.5,soil3
50.0,25.0,-1.5,soil3
75.0,25.0,-1.5,soil3
100.0,25.0,-1.5,soil3
0.0,50.0,-1.5,soil3
25.0,50.0,-1.5,soil3
50.0,50.0,-1.5,soil3
75.0,50.0,-1.5,soil3
100.0,50.0,-1.5,soil3
0.0,75.0,-1.5,soil3
25.0,75.0,-1.5,soil3
50.0,75.0,-1.5,soil3
75.0,75.0,-1.5,soil3
100.0,75.0,-1.5,soil3
0.0,100.0,-1.5,soil3
25.0,100.0,-1.5,soil3
50.0,100.0,-1.5,soil3
75.0,100.0,-1.5,soil3
100.0,100.0,-1.5,soil3
