X,Y,Z,formation,Azimuth,Dip,Polarity
0.0,18.75,-0.2146515567231364,soil1,0,0,1
18.75,56.25,-0.3299718937806146,soil1,0,0,1
0.0,18.75,-0.31594628896899885,soil1,0,0,1
75.0,75.0,-0.16841743349973667,soil1,0,0,1
75.0,37.5,-0.8322978713522184,soil2,0,0,1
75.0,75.0,-0.8211858263630897,soil2,0,0,1
56.25,75.0,-0.8597322328612202,soil2,0,0,1
75.0,0.0,-0.6915392662915888,soil2,0,0,1
56.25,75.0,-0.7834005821988728,soil3,0,0,1
37.5,18.75,-1.2378071287309356,soil3,0,0,1
37.5,0.0,-0.7834005821988728,soil3,0,0,1
56.25,18.75,-1.0923300017953539,soil3,0,0,1
