X,Y,Z,formation
0.0,0.0,-0.2974445189454076,soil1
25.0,0.0,-0.15651563829165238,soil1
50.0,0.0,-0.35608502662881436,soil1
75.0,0.0,-0.3737883180327738,soil1
100.0,0.0,-0.21244801698321925,soil1
0.0,25.0,-0.2385017296923738,soil1
25.0,25.0,-0.2999026057194073,soil1
50.0,25.0,-0.33698780751475466,soil1
75.0,25.0,-0.31254121747062596,soil1
100.0,25.0,-0.18670969444806162,soil1
0.0,50.0,-0.35105143218777646,soil1
25.0,50.0,-0.3560516444447389,soil1
50.0,50.0,-0.2537858087777851,soil1
75.0,50.0,-0.14904064758017113,soil1
100.0,50.0,-0.11708486108771675,soil1
0.0,75.0,-0.10221570008605116,soil1
25.0,75.0,-0.13427247685017293,soil1
50.0,75.0,-0.2811515043692294,soil1
75.0,75.0,-0.28998489673726074,soil1
100.0,75.0,-0.18713048166637408,soil1
0.0,100.0,-0.37111595735226277,soil1
25.0,100.0,-0.3666354375340162,soil1
50.0,100.0,-0.13934180083700196,soil1
75.0,100.0,-0.31536201080817583,soil1
100.0,100.0,-0.142234029983344,soil1
0.0,0.0,-0.9124286959589886,soil2
25.0,0.0,-0.9499374900740282,soil2
50.0,0.0,-0.9425492585805957,soil2
75.0,0.0,-0.7858335675915019,soil2
100.0,0.0,-0.8524184128494108,soil2
0.0,25.0,-0.7529618360847072,soil2
25.0,25.0,-0.7683769625462098,soil2
50.0,25.0,-0.761048820980748,soil2
75.0,25.0,-0.6332447196947463,soil2
100.0,25.0,-0.6772549841473077,soil2
0.0,50.0,-0.9552580365124669,soil2
25.0,50.0,-0.8144754531720823,soil2
50.0,50.0,-0.6424427348527973,soil2
75.0,50.0,-0.9939315410491587,soil2
100.0,50.0,-0.9248493047497717,soil2
0.0,75.0,-0.6159367702630117,soil2
25.0,75.0,-0.924775412613576,soil2
50.0,75.0,-0.894436423852339,soil2
75.0,75.0,-0.8037776524749098,soil2
100.0,75.0,-0.988893899800772,soil2
0.0,100.0,-0.7216321199731383,soil2
25.0,100.0,-0.8172325117234,soil2
50.0,100.0,-0.7975605839652494,soil2
75.0,100.0,-0.617399308781628,soil2
100.0,100.0,-0.8741490342020233,soil2
0.0,0.0,-1.319561394448485,soil3
25.0,0.0,-1.1997535485729576,soil3
50.0,0.0,-1.42303158690289,soil3
75.0,0.0,-1.0684521097532627,soil3
100.0,0.0,-1.3192040046938658,soil3
0.0,25.0,-1.0280593956210746,soil3
25.0,25.0,-1.3202760525262247,soil3
50.0,25.0,-1.0428244792042238,soil3
75.0,25.0,-1.0064150427207328,soil3
100.0,25.0,-1.2543827640954115,soil3
0.0,50.0,-1.0628755087445145,soil3
25.0,50.0,-0.8118975675968183,soil3
50.0,50.0,-1.0890683853331422,soil3
75.0,50.0,-1.4920128343903194,soil3
100.0,50.0,-1.0953986560516729,soil3
0.0,75.0,-0.8759495397911226,soil3
25.0,75.0,-0.9448900332351076,soil3
50.0,75.0,-1.4710461141346287,soil3
75.0,75.0,-1.4330101661360821,soil3
100.0,75.0,-1.109004382907452,soil3
0.0,100.0,-0.8704450913320808,soil3
25.0,100.0,-1.4569963702016804,soil3
50.0,100.0,-1.2137000019948376,soil3
75.0,100.0,-0.9107265297946421,soil3
100.0,100.0,-1.375341254145484,soil3
