X,Y,Z,formation,Azimuth,Dip,Polarity
0.0,0.0,-0.36187811269073267,soil1,0,0,1
18.75,0.0,-0.39214452070360084,soil1,0,0,1
37.5,0.0,-0.2612428994389085,soil1,0,0,1
56.25,0.0,-0.11042748124832988,soil1,0,0,1
75.0,0.0,-0.39780266565996125,soil1,0,0,1
0.0,0.0,-0.49280753524257415,soil2,0,0,1
18.75,0.0,-0.8870185223391643,soil2,0,0,1
37.5,0.0,-0.7912177371223081,soil2,0,0,1
56.25,0.0,-0.5161411462066524,soil2,0,0,1
75.0,0.0,-0.7048941537623483,soil2,0,0,1
0.0,0.0,-1.1642582379851538,soil3,0,0,1
18.75,0.0,-1.1646600949475647,soil3,0,0,1
37.5,0.0,-1.1042130806307706,soil3,0,0,1
56.25,0.0,-1.2308396008240403,soil3,0,0,1
75.0,0.0,-1.2212537646097756,soil3,0,0,1
0.0,0.0,-1.8,basement,0,0,1
18.75,0.0,-1.8,basement,0,0,1
37.5,0.0,-1.8,basement,0,0,1
56.25,0.0,-1.8,basement,0,0,1
75.0,0.0,-1.8,basement,0,0,1
